"Comment","Designator","Footprint","LCSC Part #"
"100n","C1,C3,C4,C5,C6,C15,C12,C7","C_0402_1005Metric","C1525"
"47ÂµF 10V","C2","C_1206_3216Metric","C96123"
"20p","C8,C9","C_0402_1005Metric","C1554"
"1nF","C11,C10,C13,C14","C_1206_3216Metric","C9196"
"Ferrite_Bead","FB1","L_0805_2012Metric","C1017"
"27k","R1","R_0402_1005Metric","C25771"
"1M","R2","R_0402_1005Metric","C26083"
"200R","R3","R_0402_1005Metric","C25087"
"1k","R4,R5","R_0402_1005Metric","C11702"
"10k","R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R6","R_0402_1005Metric","C25744"
"13F-39MNL","T1","SOIC-16W-12_7.5x10.3mm_P1.27mm","C115949"
"RTL8019AS","U1","LQFP-14x20mm_P0.5mm","C10016"
"AT93C46DN","U2","SOIC-8_3.9x4.9mm_P1.27mm","C6499"
"20MHz","Y1","Crystal_SMD_3225-4Pin_3.2x2.5mm","C110936"
